key,scientificName_Assessment,scientificName_Source,prov,longitude,latitude,coordinateUncertaintyInMeters,stateProvince,countryCode,year,month,datasetName,institutionCode,basisOfRecord,EORANK,references,egt_uid,el_code,collectionCode,recordedBy,recordNumber,accessRights,taxonKey,samplingProtocol,occurrenceID,bibliographicCitation,datasetID,license,rightsHolder,eventDate,occurrenceStatus,georeferenceProtocol,georeferenceRemarks,EO_ID
5077433694,Hasteola suaveolens,Hasteola suaveolens (L.) Pojark.,gbif,-89.462911,42.874551,569,Wisconsin,US,2001,8,"Wisconsin State Herbarium, Vascular Plants",WIS,PRESERVED_SPECIMEN,,https://www.gbif.org/occurrence/5077433694,ELEMENT_GLOBAL.2.154882,PDASTDX010,,"Henderson, Richard A.",1-Jan,,3151877,,,,,,,,,,,
2573187214,Hasteola suaveolens,Cacalia suaveolens L.,gbif,-88.28419,42.43715,,Illinois,US,2001,9,"University of Vermont, Pringle Herbarium",VT,PRESERVED_SPECIMEN,,https://www.gbif.org/occurrence/2573187214,ELEMENT_GLOBAL.2.154882,PDASTDX010,,"Hill, S. R.",38785,,7764400,,,,,,,,,,,
1038971016,Hasteola suaveolens,Cacalia suaveolens L.,gbif,-72.8575,41.2992,7935,Connecticut,US,1998,9,"Botany Division, Yale Peabody Museum",YPM,PRESERVED_SPECIMEN,,https://www.gbif.org/occurrence/1038971016,ELEMENT_GLOBAL.2.154882,PDASTDX010,CBS,John Souther,,"Open Access, http://creativecommons.org/publicdomain/zero/1.0/; see Yale Peabody policies at: http://hdl.handle.net/10079/8931zqj",7764400,,,,,,,,,,,
5087464454,Rhynchospora alba,Rhynchospora alba (L.) Vahl,gbif,-64.224366,44.361504,24,Nova Scotia,CA,2025,3,iNaturalist Research-grade Observations,iNaturalist,HUMAN_OBSERVATION,,https://www.gbif.org/occurrence/5087464454,ELEMENT_GLOBAL.2.160148,PMCYP0N010,Observations,Baxter Naday,,,2721119,,,,,,,,,,,
4872072327,Rhynchospora alba,Rhynchospora alba (L.) Vahl,gbif,-64.80015,46.05509,10,New Brunswick,CA,2024,5,iNaturalist Research-grade Observations,iNaturalist,HUMAN_OBSERVATION,,https://www.gbif.org/occurrence/4872072327,ELEMENT_GLOBAL.2.160148,PMCYP0N010,Observations,J. Burke Korol,,,2721119,,,,,,,,,,,
4903858050,Rhynchospora alba,Rhynchospora alba (L.) Vahl,gbif,-81.325035,42.97178,10,Ontario,CA,2024,6,iNaturalist Research-grade Observations,iNaturalist,HUMAN_OBSERVATION,,https://www.gbif.org/occurrence/4903858050,ELEMENT_GLOBAL.2.160148,PMCYP0N010,Observations,Reuven Martin,,,2721119,,,,,,,,,,,
2451579436,Catopsis floribunda,Catopsis floribunda L.B.Sm.,gbif,-81.425785,26.056205,29891,Florida,US,2019,1,iNaturalist Research-grade Observations,iNaturalist,HUMAN_OBSERVATION,,https://www.gbif.org/occurrence/2451579436,ELEMENT_GLOBAL.2.159604,PMBRO04020,Observations,Ruth Brooks,,,2698790,,,,,,,,,,,
2550057028,Catopsis floribunda,Catopsis floribunda L.B.Sm.,gbif,-80.874075,25.184456,584,Florida,US,2006,3,iNaturalist Research-grade Observations,iNaturalist,HUMAN_OBSERVATION,,https://www.gbif.org/occurrence/2550057028,ELEMENT_GLOBAL.2.159604,PMBRO04020,Observations,Bruce Holst,,,2698790,,,,,,,,,,,
122920299,Catopsis floribunda,Catopsis floribunda L.B.Sm.,gbif,-81.381,26.0992,71374,Florida,US,1976,5,Fairchild Tropical Botanic Garden (FTG),FTG,PRESERVED_SPECIMEN,,https://www.gbif.org/occurrence/122920299,ELEMENT_GLOBAL.2.159604,PMBRO04020,Herbarium,"D. S. Correll, N. Smiley, P. Brown",47185,,2698790,,,,,,,,,,,
122920921,Catopsis floribunda,Catopsis floribunda L.B.Sm.,gbif,-80.4987,25.609,72324,Florida,US,1968,12,Fairchild Tropical Botanic Garden (FTG),FTG,PRESERVED_SPECIMEN,,https://www.gbif.org/occurrence/122920921,ELEMENT_GLOBAL.2.159604,PMBRO04020,Herbarium,"G. Fraez, B. Mankel.,L. Garbarini",,,2698790,,,,,,,,,,,